"","MTurkID","round3_pay"
"6","A340UGIDGIF4W6",2
"36","A3K6DL4PN98CBN",2.1
"41","AL83KKXUORS9Y",1.8
"42","A36IU5EX4AZD04",2.3
"49","A1ROEDVMTO9Y3X",1.8
"50","A3MZ9RQJX9T656",2.8
"58","A115UFR6VA6OM1",2.1
"64","A1FYQDCJ0S4Q10",2
"67","A1MNVFRIMBY6SI",2.2
"87","A3RRW6OSYCLKWB",2.3
"110","A1MXE9QGRV61MW",2.4
"155","A2BNOEYZ3VRW2R",2.3
"158","A2GPRAZMQDRPJP",2.3
"163","AFUX7IUQOE0NA",3.6
"237","A63QNYB26OEZN",1.7
"271","A2RUHO7I7Y4XFA",2.6
"286","A27OGR8XDNXFJN",1.7
"291","A1XIADQR1BY59W",2.7
"320","A3AY0315YWWNXY",2.1
