SurveyId,AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Estimated CloudResearch Fee,Actual Completion Code,Expected Completion Code,Gender,GenderConsistency,Feedback
350759,A2DLYBXZNSSJ4S,3ZPPDN2SLWKXUXP652JXTGVCPMC9EP,209,3/8/2022 6:10:49 PM,3/8/2022 6:14:18 PM,Approved,1.20,0.00,0.120000,769CX6XSP75,769CX6XSP75,,,
350759,AEWPAZBYA7XE,3S4AW7T80C6A3XTM5TAAP3AGCRZ4LB,258,3/8/2022 6:10:20 PM,3/8/2022 6:14:38 PM,Approved,1.20,0.00,0.120000,764GAMAT465,764GAMAT465,Male,100.00 %,
350759,AW7MY0Z5N1LTI,3XLBSAQ9Z50RR9S9MSZQ0U5OI2WZ78,360,3/8/2022 6:09:19 PM,3/8/2022 6:15:19 PM,Approved,1.20,0.00,0.120000,76Z5S9ZS39,76Z5S9ZS39,Female,100.00 %,
350759,A30HUZHJBOX1LK,3LJ7UR74RI10RXW7H6QP2VE5HMZ4ND,434,3/8/2022 6:09:16 PM,3/8/2022 6:16:30 PM,Approved,1.20,0.00,0.120000,7645P7IRL84,7645P7IRL84,Male,100.00 %,
350759,A1VFOKKVJ7B9D6,3IXEICO7937C1X55XQ5G8S4B2VR6T1,542,3/8/2022 6:09:18 PM,3/8/2022 6:18:20 PM,Approved,1.20,0.00,0.120000,76R4553I39,76R4553I39,Female,100.00 %,
350759,A33X52IN60MSOE,3NXNZ5RS1BLCLIAWIU5RN63V3Z8973,839,3/8/2022 6:09:17 PM,3/8/2022 6:23:16 PM,Approved,1.20,0.00,0.120000,769VRWCRX65,769VRWCRX65,Male,100.00 %,
350759,A2G7F8S617H0BB,3IQ1VMJRYU8U4K8UPXHBXX5L47E9AU,851,3/8/2022 6:09:19 PM,3/8/2022 6:23:30 PM,Approved,1.20,0.00,0.120000,769LBUURQ65,769LBUURQ65,,,
350759,A1UTN872NUHB39,3PJUZCGDJ74GLWFFSZXX16ZQEJE98Q,1198,3/8/2022 6:09:16 PM,3/8/2022 6:29:14 PM,Approved,1.20,0.00,0.120000,769QXF4GJ65,769QXF4GJ65,Female,100.00 %,
350759,ASCBDA9UZWQA6,3VSOLARPKCXUKZ99GI21APRFYXQ39W,369,3/8/2022 6:50:52 PM,3/8/2022 6:57:01 PM,Approved,1.20,0.00,0.120000,763F29XRV84,763F29XRV84,Female,100.00 %,
350759,A39K5MR4MCSC56,3RJSC4XJ11IF2K80U571WBO69PN057,583,3/8/2022 6:50:52 PM,3/8/2022 7:00:35 PM,Approved,1.20,0.00,0.120000,76NBUF4R84,76NBUF4R84,Male,100.00 %,
350759,A24HOBENULGZA2,32SVAV9L3GX8PIJE8OG16K2Z4F83AB,701,3/8/2022 6:50:55 PM,3/8/2022 7:02:36 PM,Approved,1.20,0.00,0.120000,763ZGIGV284,763ZGIGV284,Female,100.00 %,
350759,A10M63DSIGIEDI,3PM8NZGV8Z4CSWX9H9KB3068FSUXQB,865,3/8/2022 6:50:54 PM,3/8/2022 7:05:19 PM,Approved,1.20,0.00,0.120000,76X8KX4GM65,76X8KX4GM65,Female,100.00 %,
350759,A170R0WAZC31WC,3K2755HG5TR1312JCT85XUZ2S8AFDY,1215,3/8/2022 6:51:03 PM,3/8/2022 7:11:18 PM,Approved,1.20,0.00,0.120000,76F25JT5K84,76F25JT5K84,,,
350759,A3CGQOJC28OVGN,3VHP9MDGRO8RY9W5CXDUDOHK78YFCY,1273,3/8/2022 6:50:53 PM,3/8/2022 7:12:06 PM,Approved,1.20,0.00,0.120000,76FKDW8MV84,76FKDW8MV84,Female,100.00 %,
350759,A28AXX4NCWPH1F,3K5TEWLKGWZ7794V4MEK6DI187EVIC,195,3/8/2022 7:36:07 PM,3/8/2022 7:39:22 PM,Approved,1.20,0.00,0.120000,76VIE4ZL565,76VIE4ZL565,Male,100.00 %,
350759,A3IDG9C18BCATK,34MAJL3QP5BTNT3XZN6ATHGZC5L349,426,3/8/2022 7:34:31 PM,3/8/2022 7:41:37 PM,Approved,1.20,0.00,0.120000,763ZAXTQA75,763ZAXTQA75,Male,100.00 %,
350759,A1DC5O5XEIMM1M,3H8DHMCCWAZCJNUXD4Z2D7R7040DK7,447,3/8/2022 7:35:16 PM,3/8/2022 7:42:43 PM,Approved,1.20,0.00,0.120000,76D74NAMH84,76D74NAMH84,Female,100.00 %,
350759,AUDVJK5HUS4TS,3S96KQ6I9NSBM6KK7DDUEYE3JHQTDS,968,3/8/2022 7:35:08 PM,3/8/2022 7:51:16 PM,Approved,1.20,0.00,0.120000,76T3UKBI675,76T3UKBI675,Female,100.00 %,
350759,AR5RKWHR0DUCS,3ZSANO2JCGV75QL19J3USTL2TBWSFH,282,3/8/2022 8:09:08 PM,3/8/2022 8:13:50 PM,Approved,1.20,0.00,0.120000,76S2ULV2Z84,76S2ULV2Z84,Male,100.00 %,
350759,A2EH7IQCDH2Q5D,3LRKMWOKB65K58V3GGIV43OG7MS2ZD,263,3/8/2022 8:12:11 PM,3/8/2022 8:16:34 PM,Approved,1.20,0.00,0.120000,762GIV5WL84,762GIV5WL84,,,
350759,A2NA6X1SON3KFH,3J2UYBXQQM0BLO8EZOH6OH265KY06N,,3/8/2022 7:16:19 PM,,Not Submitted,0.00,0.00,0.120000,,76Y2ZBX265,Male,100.00 %,
350759,A1LJT9OW9UR4GF,3IAS3U3I0G4ONASNA22SILHDGJ2B2C,,3/8/2022 7:35:40 PM,,Not Submitted,0.00,0.00,0.120000,,76BDSN4UI84,Female,100.00 %,
